hostname,phase,duration_seconds,timestamp
SIGIL,cpp_env_setup_cold,9.471,2026-05-19T22:33:37
SIGIL,cpp_env_setup_warm,2.419,2026-05-19T22:33:47
SIGIL,cpp_cmake_gen,3.636,2026-05-19T22:33:51
SIGIL,cpp_build,18.059,2026-05-19T22:34:09
SIGIL,py_env_setup_cold,27.224,2026-05-19T22:35:02
SIGIL,py_env_setup_warm,6.043,2026-05-19T22:35:20
SIGIL,py_import,5.151,2026-05-19T22:35:25
SIGIL,node_env_setup_cold,2.29,2026-05-19T22:35:41
SIGIL,node_env_setup_warm,0.662,2026-05-19T22:35:42
SIGIL,node_npm_install,11.067,2026-05-19T22:36:04
SIGIL,node_build,7.184,2026-05-19T22:36:11
